"rank","name","symbol","coin_id","market_cap_usd","price_usd"
"10","Lido Staked Ether","STETH","steth-lido-staked-ether","19525236507","1993,5104243977019"
"23","Wrapped eETH","WEETH","weeth-wrapped-eeth","5727798558","2184,93424107913"
"25","Canton Network","CC","cc-canton-network","5453274845","0,15624582514247595"
"28","OKB","OKB","okb-okb","5222237254","87,03728757050825"
"30","Rain Protocol","RAIN","rain-rain-protocol","4927594039","0,014504687400085403"
"45","Mantle","MNT","mnt-mantle","2095218736","0,6344736396256068"
"63","USDD","USDD","usdd-usdd","1133627062","0,9991753043832773"
"94","Beldex","BDX","bdx-beldex","598565860","0,07735053938473607"
"109","edgeX","EDGE","edge-edgex","483159380","1,380455373224632"
